time us,CH1 mV
4.03E-01,1.6
4.04E-01,18.4
4.04E-01,13.6
4.04E-01,32
4.05E-01,31.2
4.05E-01,25.6
4.06E-01,12
4.06E-01,10.4
4.06E-01,25.6
4.07E-01,-6.4
4.07E-01,-6.4
4.08E-01,-20
4.08E-01,15.2
4.08E-01,6.4
4.09E-01,-0.8
4.09E-01,2.4
4.10E-01,-36.8
4.10E-01,-26.4
4.10E-01,-31.2
4.11E-01,-15.2
4.11E-01,-4.8
4.12E-01,0.8
4.12E-01,-17.6
4.12E-01,-4.8
4.13E-01,-13.6
4.13E-01,-26.4
4.14E-01,1.6
4.14E-01,44.8
4.14E-01,37.6
4.15E-01,8.8
4.15E-01,12.8
4.16E-01,28
4.16E-01,33.6
4.16E-01,30.4
4.17E-01,19.2
4.17E-01,20.8
4.18E-01,24
4.18E-01,-2.4
4.18E-01,26.4
4.19E-01,33.6
4.19E-01,19.2
4.20E-01,-11.2
4.20E-01,-19.2
4.20E-01,-12.8
4.21E-01,-16
4.21E-01,-9.6
4.22E-01,-37.6
4.22E-01,-23.2
4.22E-01,-52
4.23E-01,-37.6
4.23E-01,1.6
4.24E-01,-8
4.24E-01,-24.8
4.24E-01,-30.4
4.25E-01,-34.4
4.25E-01,-0.8
4.26E-01,21.6
4.26E-01,24
4.26E-01,0.8
4.27E-01,4.8
4.27E-01,-0.8
4.28E-01,12
4.28E-01,8.8
4.28E-01,15.2
4.29E-01,12
4.29E-01,-4.8
4.30E-01,0
4.30E-01,-9.6
4.30E-01,-2.4
4.31E-01,8
4.31E-01,10.4
4.32E-01,30.4
4.32E-01,-7.2
4.32E-01,-2.4
4.33E-01,-15.2
4.33E-01,-40.8
4.34E-01,-52
4.34E-01,-38.4
4.34E-01,-3.2
4.35E-01,-9.6
4.35E-01,-20.8
4.36E-01,4
4.36E-01,-3.2
4.36E-01,9.6
4.37E-01,0
4.37E-01,-5.6
4.38E-01,9.6
4.38E-01,2.4
4.38E-01,3.2
4.39E-01,16
4.39E-01,21.6
4.40E-01,21.6
4.40E-01,19.2
4.40E-01,4
4.41E-01,-10.4
4.41E-01,-13.6
4.42E-01,-27.2
4.42E-01,-36.8
4.42E-01,-22.4
4.43E-01,-36
4.43E-01,-28.8
4.44E-01,-30.4
4.44E-01,-27.2
4.44E-01,-13.6
4.45E-01,-6.4
4.45E-01,-10.4
4.46E-01,-11.2
4.46E-01,-12.8
4.46E-01,-16
4.47E-01,-38.4
4.47E-01,-28
4.48E-01,-8
4.48E-01,-39.2
4.48E-01,-19.2
4.49E-01,-3.2
4.49E-01,-14.4
4.50E-01,-10.4
4.50E-01,12.8
4.50E-01,-3.2
4.51E-01,-19.2
4.51E-01,-3.2
4.52E-01,-12.8
4.52E-01,8
4.52E-01,11.2
4.53E-01,17.6
4.53E-01,21.6
4.54E-01,8
4.54E-01,4.8
4.54E-01,0.8
4.55E-01,-35.2
4.55E-01,-38.4
4.56E-01,-3.2
4.56E-01,-23.2
4.56E-01,2.4
4.57E-01,-2.4
4.57E-01,-11.2
4.58E-01,-11.2
4.58E-01,-25.6
4.58E-01,3.2
4.59E-01,-15.2
4.59E-01,12
4.60E-01,-1.6
4.60E-01,-21.6
4.60E-01,-14.4
4.61E-01,-26.4
4.61E-01,-34.4
4.62E-01,-7.2
4.62E-01,-6.4
4.62E-01,-16.8
4.63E-01,-12
4.63E-01,-32
4.64E-01,-21.6
4.64E-01,-8.8
4.64E-01,-6.4
4.65E-01,-18.4
4.65E-01,-12.8
4.66E-01,-2.4
4.66E-01,0
4.66E-01,22.4
4.67E-01,30.4
4.67E-01,22.4
4.68E-01,16.8
4.68E-01,-5.6
4.68E-01,8
4.69E-01,-12
4.69E-01,-17.6
4.70E-01,-13.6
4.70E-01,4
4.70E-01,-8.8
4.71E-01,-1.6
4.71E-01,-10.4
4.72E-01,0.8
4.72E-01,17.6
4.72E-01,4.8
4.73E-01,-15.2
4.73E-01,-12.8
4.74E-01,-12
4.74E-01,23.2
4.74E-01,-8
4.75E-01,11.2
4.75E-01,16.8
4.76E-01,17.6
4.76E-01,-2.4
4.76E-01,-13.6
4.77E-01,-24.8
4.77E-01,-6.4
4.78E-01,29.6
4.78E-01,25.6
4.78E-01,-9.6
4.79E-01,-16
4.79E-01,6.4
4.80E-01,-0.8
4.80E-01,21.6
4.80E-01,21.6
4.81E-01,9.6
4.81E-01,16.8
4.82E-01,-17.6
4.82E-01,-33.6
4.82E-01,-4
4.83E-01,3.2
4.83E-01,12
4.84E-01,0
4.84E-01,16.8
4.84E-01,1.6
4.85E-01,4.8
4.85E-01,5.6
4.86E-01,-0.8
4.86E-01,52
4.86E-01,16.8
4.87E-01,7.2
4.87E-01,3.2
4.88E-01,-2.4
4.88E-01,22.4
4.88E-01,12.8
4.89E-01,5.6
4.89E-01,5.6
4.90E-01,-0.8
4.90E-01,6.4
4.90E-01,-0.8
4.91E-01,-7.2
4.91E-01,-14.4
4.92E-01,-6.4
4.92E-01,-23.2
4.92E-01,-16
4.93E-01,-6.4
4.93E-01,4
4.94E-01,1.6
4.94E-01,-8
4.94E-01,8
4.95E-01,12.8
4.95E-01,9.6
4.96E-01,4
4.96E-01,26.4
4.96E-01,5.6
4.97E-01,12
4.97E-01,8.8
4.98E-01,16
4.98E-01,-2.4
4.98E-01,-11.2
4.99E-01,1.6
4.99E-01,-12.8
5.00E-01,8
5.00E-01,22.4
5.00E-01,9.6
5.01E-01,-0.8
5.01E-01,-2.4
